product_id,handle,title,state,globo_option_sets,action
9436254175571,personalised-mr-mrs-first-christmas-street-sign,Personalised First Christmas Street Sign Gift — Mr & Mrs | Newlywed Christmas Present,native Daisy builder — Globo NOT needed,728788,REMOVE from these option sets
9436245819731,wedding-flower-arch-personalised-pebble-picture,Personalised Wedding Pebble Picture Gift — On Your Wedding Day | Unique Wedding Day Present UK,native Daisy builder — Globo NOT needed,767508,REMOVE from these option sets
9436289663315,wedding-church-personalised-pebble-picture,Personalised Wedding Church Pebble Picture Gift — Unique Wedding Day Present UK,native Daisy builder — Globo NOT needed,767508,REMOVE from these option sets
9534271226195,on-your-wedding-day-personalised-pebble-picture-gift-autumn,Personalised Autumn Wedding Pebble Picture Gift — On Your Wedding Day | Unique Wedding Gift UK,no native builder — still depends on Globo,767508,keep on Globo until a native builder exists
9683117703507,love-at-christmas-wedding-personalised-pebble-picture,Personalised Wedding Christmas Pebble Picture Gift — Love At Christmas | Unique Xmas Wedding Gift UK,no native builder — still depends on Globo,"767508,882717",keep on Globo until a native builder exists
9436227633491,,,not active (archived/draft/deleted),767521,ignore — set can go if it only holds products like this
9436265611603,personalised-dads-bar-london-street-sign,Personalised Dad Gift Street Sign — Bar & Grill BBQ Sign | Father's Day or Birthday Present,native Daisy builder — Globo NOT needed,767526,REMOVE from these option sets
9436271116627,personalised-london-street-sign,Personalised London Street Sign Gift — Custom London Street Name | Unique London Present UK,native Daisy builder — Globo NOT needed,768070,REMOVE from these option sets
9436267610451,personalised-football-stadium-street-sign-copy,Personalised Football Stadium Street Sign Gift — Pick Your Team | Football Fan Present UK,native Daisy builder — Globo NOT needed,768071,REMOVE from these option sets
9436269445459,personalised-halloween-street-sign,Personalised Halloween Street Sign Gift — Custom Personalised Halloween Home Decoration,native Daisy builder — Globo NOT needed,768102,REMOVE from these option sets
9436260958547,personalised-creepin-it-real-street-sign,Personalised Halloween Street Sign Gift — Creepin It Real | Funny Halloween Home Decoration,no native builder — still depends on Globo,768106,keep on Globo until a native builder exists
9436261646675,personalised-halloween-party-street-sign,Personalised Halloween Party Street Sign Gift — Personalised Party Decoration,no native builder — still depends on Globo,768114,keep on Globo until a native builder exists
9436231795027,santa-stop-here-personalised-christmas-street-sign,Personalised Christmas Street Sign Gift — Santa Stop Here | Personalised Family Xmas Present,native Daisy builder — Globo NOT needed,768116,REMOVE from these option sets
9436228714835,family-village-personalised-christmas-street-sign,Personalised Christmas Street Sign Gift — Family Village | Personalised Family Xmas Present,native Daisy builder — Globo NOT needed,768122,REMOVE from these option sets
9436228321619,family-sleigh-personalised-christmas-street-sign,Personalised Christmas Street Sign Gift — Family Sleigh | Personalised Family Xmas Present,native Daisy builder — Globo NOT needed,768126,REMOVE from these option sets
9436248965459,personalised-create-your-own-football-stadium-street-sign,Personalised Football Gift Street Sign — Create Your Own Stadium Sign | Football Fan Present UK,native Daisy builder — Globo NOT needed,768127,REMOVE from these option sets
9436232089939,this-way-to-the-wedding-personalised-street-sign,Personalised Wedding Street Sign Gift — This Way to the I Do's | Wedding Day Venue Sign,native Daisy builder — Globo NOT needed,768144,REMOVE from these option sets
9436276097363,personalised-traditional-road-sign,Personalised Traditional Road Sign Gift,native Daisy builder — Globo NOT needed,768151,REMOVE from these option sets
9436227109203,always-forever-personalised-street-sign,Personalised Street Sign Gift — Always & Forever | Wedding Anniversary Couple Present UK,native Daisy builder — Globo NOT needed,768156,REMOVE from these option sets
9436250308947,,,not active (archived/draft/deleted),768158,ignore — set can go if it only holds products like this
9436276326739,personalised-vintage-style-train-sign-gift,Personalised Vintage Style Train Sign Gift,native Daisy builder — Globo NOT needed,768163,REMOVE from these option sets
9436237693267,engagement-proposal-personalised-pebble-artwork,Personalised Engagement Pebble Picture Gift — Unique Couple Gift | Engagement Present UK,native Daisy builder — Globo NOT needed,768208,REMOVE from these option sets
